Date,BZ=F,CC=F,CL=F,CT=F,GC=F,GF=F,HE=F,HG=F,HO=F,KC=F,KE=F,LBR=F,LE=F,NG=F,OJ=F,PA=F,PL=F,RB=F,SB=F,SI=F,ZC=F,ZL=F,ZM=F,ZO=F,ZR=F,ZS=F,ZW=F
2025-11-14,64.38999938964844,5287.0,60.09000015258789,62.4900016784668,4087.60009765625,338.67498779296875,78.5,5.049499988555908,2.531100034713745,399.7999877929688,515.25,508.0,219.1499938964844,4.565999984741211,157.85000610351562,1420.699951171875,1555.199951171875,2.0116000175476074,14.960000038146973,50.59000015258789,430.25,50.150001525878906,322.5,306.25,10.140000343322754,1112.75,527.25
2025-11-17,64.19999694824219,5264.0,59.90999984741211,62.36000061035156,4068.300048828125,339.8500061035156,78.57499694824219,5.0,2.546999931335449,402.5499877929688,528.75,545.5,221.2749938964844,4.361000061035156,155.5500030517578,1413.9000244140625,1545.699951171875,1.9901000261306765,14.800000190734863,50.625,434.75,51.13999938964844,330.79998779296875,308.5,10.4399995803833,1157.25,544.25
2025-11-18,64.88999938964844,5262.0,60.7400016784668,62.56999969482422,4061.300048828125,340.7749938964844,77.9000015258789,4.962500095367432,2.7011001110076904,415.3500061035156,526.25,552.5,220.0249938964844,4.370999813079834,158.1999969482422,1419.4000244140625,1545.199951171875,1.9993000030517576,14.699999809265137,50.45000076293945,436.75,52.16999816894531,327.0,309.25,10.350000381469728,1153.5,546.5
2025-11-19,63.5099983215332,4943.0,59.43999862670898,62.29999923706055,4077.699951171875,341.8500061035156,78.8499984741211,5.007999897003174,2.635699987411499,404.5,515.5,535.5,216.3000030517578,4.550000190734863,148.39999389648438,1402.0999755859375,1546.9000244140625,1.9321000576019287,14.65999984741211,50.790000915527344,429.75,51.09999847412109,318.8999938964844,311.5,10.104999542236328,1136.25,536.75
2025-11-20,63.380001068115234,5108.0,59.13999938964844,61.68000030517578,4056.5,340.6499938964844,79.4749984741211,4.959499835968018,2.5332999229431152,406.5,506.25,538.0,214.7250061035156,4.473999977111816,152.3000030517578,1382.4000244140625,1506.199951171875,1.9184000492095947,14.65999984741211,50.24700164794922,426.5,50.65999984741211,314.0,305.75,10.029999732971191,1122.5,527.0
2025-11-21,62.560001373291016,5084.0,58.060001373291016,61.34999847412109,4076.699951171875,314.2250061035156,77.80000305175781,5.008500099182129,2.456399917602539,400.0,511.0,538.5,214.4499969482422,4.579999923706055,142.39999389648438,1383.5999755859375,1513.800048828125,1.8833999633789065,14.779999732971191,49.87300109863281,425.5,50.2599983215332,315.1000061035156,305.5,10.44499969482422,1125.0,527.0
2025-11-24,63.369998931884766,5090.0,58.84000015258789,61.43999862670898,4091.89990234375,304.9750061035156,78.19999694824219,4.961999893188477,2.406100034713745,407.4500122070313,507.25,539.0,207.1999969482422,4.548999786376953,136.85000610351562,1403.0999755859375,1542.5,1.8966000080108645,14.81999969482422,50.29499816894531,423.75,50.18000030517578,314.20001220703125,301.0,10.414999961853027,1123.25,522.25
2025-11-25,62.47999954223633,4999.0,57.95000076293945,62.43000030517578,4139.2001953125,307.07501220703125,78.44999694824219,4.999499797821045,2.353800058364868,414.2000122070313,513.25,544.0,207.0,4.423999786376953,140.85000610351562,1402.199951171875,1556.9000244140625,1.857200026512146,14.90999984741211,50.93399810791016,423.5,50.29999923706055,317.0,310.0,10.170000076293944,1124.75,527.25
2025-11-26,63.130001068115234,4993.0,58.650001525878906,62.77000045776367,4165.2001953125,315.125,80.42500305175781,5.104499816894531,2.325500011444092,411.5,517.25,550.0,211.0249938964844,4.558000087738037,150.39999389648438,1422.5,1578.9000244140625,1.8890000581741333,15.140000343322754,52.91600036621094,431.75,50.869998931884766,317.1000061035156,304.0,10.135000228881836,1131.5,529.0
2025-11-28,63.20000076293945,5404.0,58.54999923706055,62.90999984741211,4218.2998046875,323.9750061035156,80.5999984741211,5.185500144958496,2.3329999446868896,413.0,517.75,544.0,215.5749969482422,4.849999904632568,156.0500030517578,1468.5999755859375,1677.699951171875,1.895900011062622,15.210000038146973,56.44599914550781,435.5,51.7599983215332,314.3999938964844,294.75,10.074999809265137,1137.75,531.0
2025-12-01,63.16999816894531,5456.0,59.31999969482422,62.83000183105469,4239.2998046875,321.07501220703125,80.2249984741211,5.218999862670898,2.3399999141693115,411.5,517.0,537.0,214.1999969482422,4.921000003814697,148.5500030517578,1444.800048828125,1670.0999755859375,1.868899941444397,14.760000228881836,58.417999267578125,432.75,52.060001373291016,311.1000061035156,291.75,10.175000190734863,1128.0,530.25
2025-12-02,62.45000076293945,5401.0,58.63999938964844,62.77000045776367,4186.60009765625,329.875,80.5,5.160999774932861,2.312700033187866,405.5499877929688,523.5,535.0,218.4750061035156,4.840000152587891,150.9499969482422,1470.9000244140625,1644.0,1.830299973487854,14.979999542236328,57.983001708984375,438.0,52.34999847412109,308.6000061035156,292.5,10.114999771118164,1124.75,537.75
2025-12-03,62.66999816894531,5453.0,58.95000076293945,62.65999984741211,4199.2998046875,331.8500061035156,80.55000305175781,5.308000087738037,2.300800085067749,403.75,521.0,531.0,218.9499969482422,4.994999885559082,148.85000610351562,1476.800048828125,1656.5,1.827200055122376,14.93000030517578,57.92100143432617,431.5,51.34999847412109,308.3999938964844,298.25,9.914999961853027,1115.75,537.75
2025-12-04,63.2599983215332,5434.0,59.66999816894531,62.27999877929688,4211.7998046875,336.57501220703125,81.125,5.291500091552734,2.3036999702453613,411.9500122070313,529.5,536.5,221.4499969482422,5.063000202178955,150.39999389648438,1451.9000244140625,1654.4000244140625,1.8271000385284424,14.880000114440918,56.84700012207031,437.75,51.52999877929688,308.5,303.0,10.09000015258789,1119.5,541.0
2025-12-05,63.75,5643.0,60.08000183105469,62.130001068115234,4212.89990234375,339.04998779296875,81.6500015258789,5.381999969482422,2.3629000186920166,406.25,523.25,539.5,227.1499938964844,5.289000034332275,145.6999969482422,1472.4000244140625,1655.0,1.8341000080108645,14.800000190734863,58.422000885009766,436.75,51.36000061035156,304.70001220703125,296.5,9.984999656677246,1105.25,537.5
